,method,rna_n_features,atac_n_features,rna_raw_nzero_ratio_celltype,rna_raw_nzero_ratio_cell,rna_knn_nzero_ratio_celltype,rna_knn_nzero_ratio_cell,rna_raw_celltype_cor,rna_raw_cell_cor,rna_knn_celltype_cor,rna_knn_cell_cor,atac_raw_nzero_ratio_celltype,atac_raw_nzero_ratio_cell,atac_knn_nzero_ratio_celltype,atac_knn_nzero_ratio_cell,atac_raw_celltype_auprc,atac_raw_celltype_auroc,atac_raw_cell_auprc,atac_raw_cell_auroc,atac_knn_celltype_auprc,atac_knn_celltype_auroc,atac_knn_cell_auprc,atac_knn_cell_auroc
0,multivi-louvain,7559,67313,0.9202620544470456,0.0786104246593464,0.9999654888787912,0.5729090355867178,-0.0003873073742315,-0.0004604671406683,-0.0003923625616113,-0.0005610498052251,0.8820674861564954,0.0403263411228143,0.999935408820184,0.4406581017039799,0.8736263247047298,0.5907126500544418,0.0352729652692231,0.4549410594676112,1.0,1.0,0.4112816844238517,0.4587916723991462
1,multivi-louvain,7559,67313,0.9202620544470456,0.0786104246593464,0.9999654888787912,0.5729090355867178,-0.0003873073742315,-0.0004604671406683,-0.0003923625616113,-0.0005610498052251,0.8820674861564954,0.0403263411228143,0.999935408820184,0.4406581017039799,0.8736263247047298,0.5907126500544418,0.0352729652692231,0.4549410594676112,1.0,1.0,0.4112816844238517,0.4587916723991462
2,multivi-louvain,7559,67313,0.9202620544470456,0.0786104246593464,0.9999654888787912,0.5729090355867178,-0.0003873073742315,-0.0004604671406683,-0.0003923625616113,-0.0005610498052251,0.8820674861564954,0.0403263411228143,0.999935408820184,0.4406581017039799,0.8736263247047298,0.5907126500544418,0.0352729652692231,0.4549410594676112,1.0,1.0,0.4112816844238517,0.4587916723991462
3,multivi-louvain,7559,67313,0.9202620544470456,0.0786104246593464,0.9999654888787912,0.5729090355867178,-0.0003873073742315,-0.0004604671406683,-0.0003923625616113,-0.0005610498052251,0.8820674861564954,0.0403263411228143,0.999935408820184,0.4406581017039799,0.8736263247047298,0.5907126500544418,0.0352729652692231,0.4549410594676112,1.0,1.0,0.4112816844238517,0.4587916723991462
4,multivi-louvain,7559,67313,0.9202620544470456,0.0786104246593464,0.9999654888787912,0.5729090355867178,-0.0003873073742315,-0.0004604671406683,-0.0003923625616113,-0.0005610498052251,0.8820674861564954,0.0403263411228143,0.999935408820184,0.4406581017039799,0.8736263247047298,0.5907126500544418,0.0352729652692231,0.4549410594676112,1.0,1.0,0.4112816844238517,0.4587916723991462
5,StabMap-louvain,600,600,0.8997101449275363,0.088268,1.0,0.5371506666666667,0.7956557113547259,0.2118400430545563,0.8168421766000427,0.348066187609775,0.7294202898550725,0.0134943333333333,,,,,0.0193374080189809,0.503763760311286,,,,
6,StabMap-louvain,600,600,0.8997101449275363,0.088268,1.0,0.5371506666666667,0.7956557113547259,0.2118400430545563,0.8168421766000427,0.348066187609775,0.7294202898550725,0.0134943333333333,,,,,0.0193374080189809,0.503763760311286,,,,
7,StabMap-louvain,600,600,0.8997101449275363,0.088268,1.0,0.5371506666666667,0.7956557113547259,0.2118400430545563,0.8168421766000427,0.348066187609775,0.7294202898550725,0.0134943333333333,,,,,0.0193374080189809,0.503763760311286,,,,
8,StabMap-louvain,600,600,0.8997101449275363,0.088268,1.0,0.5371506666666667,0.7956557113547259,0.2118400430545563,0.8168421766000427,0.348066187609775,0.7294202898550725,0.0134943333333333,,,,,0.0193374080189809,0.503763760311286,,,,
9,StabMap-louvain,600,600,0.8997101449275363,0.088268,1.0,0.5371506666666667,0.7956557113547259,0.2118400430545563,0.8168421766000427,0.348066187609775,0.7294202898550725,0.0134943333333333,,,,,0.0193374080189809,0.503763760311286,,,,
